Rank,Name,Score
761,khun_gs,'21.9453
762,One Piece,'22.0204
763,hw23542402,'22.596
764,给大佬递Java,'22.7391
765,乘风破浪,'22.8216
766,蛋黄长裙,'23.4917
767,奥佛队,'23.6968
768,winterf,'24.0656
769,咕噜咕噜茄,'24.2699
770,Firework,'24.848
771,hw54830062,'25.1199
772,hw07187489,'25.2078
773,wasaiboluoxia,'25.3289
774,您吃了吗,'25.3927
775,asda,'25.8878
776,aaa,'26.0716
777,hw47005954,'26.0771
778,hw52876030,'26.1273
779,Sejuani,'26.4206
780,AKOgogogo,'27.0452
781,857857857,'27.0561
782,叫什么都一样,'27.1174
783,tc2020,'27.249
784,clickMe,'27.6914
785,hw16332601,'28.9036
786,来搞笑的,'29.0585
787,这把宝刀专割柚子厨的,'30.0179
788,Tsunda,'30.0958
789,hw57308748,'30.21
790,hw33077508,'30.3337
791,hw48743653,'30.5509
792,我想静静,'30.5929
793,GGBond,'30.7578
794,hw20651501,'30.7835
795,阿木木zzz,'31.4285
796,lxhana,'31.7355
797,hw810905,'31.8101
798,hw54190270,'32.3037
799,hey-kong,'33.004
800,神技大学法海,'33.0913
801,达拉崩吧,'33.8479
802,hw22642051,'34.0849
803,hw77597494,'34.8919
804,hw89416826,'35.3565
805,窃格瓦拉归来,'35.4839
806,青春有我,'36.2055
807,AWSL,'36.8478
808,guanrui95,'37.5213
809,hw46899021,'38.2554
810,q458744230,'38.2629
811,dfs,'38.6201
812,hw30398852,'38.6317
813,flagOY2,'39.1694
814,三相神,'39.8572
815,关灯吃面,'39.8822
816,hw93129234,'40.3079
817,塞班,'40.4516
818,What2,'41.149
819,三个臭皮匠,'41.7038
820,YB_YB,'42.6871
821,一个臭皮匠咋顶诸葛亮,'42.7877
822,zhangzerui,'44.6863
823,COVET,'44.7011
824,请以上队伍上台领奖,'45.6876
825,hw80021605,'46.2883
826,摸鱼吧！,'47.3844
827,shammy,'47.7729
828,运筹优化小队,'47.9785
829,uestc_allen,'48.1719
830,LINRUIHANG,'48.443
831,摸鱼我最强,'48.7816
832,hdjsjysx,'49.0406
833,LI,'49.4284
834,hw94891551,'50.3885
835,hw08034176,'52.1466
836,hw86564899,'52.969
837,干哈哈不行,'53.0607
838,hit战队,'54.878
839,hw08034176,'55.7984
840,hw15477201,'59.2641
841,-1s,'61.7618
842,加香菜不要洋葱,'64.2696
843,dalaodaidaiwo_,'64.4056
844,bbp123,'64.5546
845,Coding,'65.8047
846,ggzz,'66.5604
847,校霸,'66.9918
848,南山泉水鸡,'67.2695
849,flyhema,'67.3649
850,濮竹01,'67.5085
851,hw16282285,'67.5143
852,hw00512656,'68.074
853,HXY,'68.88
854,hw94105119,'72.1096
855,thth,'75.7587
856,ds,'76.0205
857,CAU-fighter,'78.0013
858,歌德寂寞,'78.1498
859,lnjjjj,'79.1327
860,LKB,'79.2547
861,C,'79.7844
862,姐妹！,'80.8891
863,sunxiangjun,'81.1384
864,sunxiangjun,'83.258
865,hw28604196,'84.8424
866,hw08786912,'85.41
867,hw30869789,'87.0942
868,蓬松的头发,'87.8377
869,独墅湖赛艇,'90.8206
870,枣子姐永远滴神,'93.7199
871,hw11168891,'96.4434
872,hw76963048,'97.9473
873,useless,'100.836
874,sunxiangjun,'101.2813
875,zheyday,'114.6761
876,Salatomatoignon,'116.6509
877,aware,'121.5126
878,liumin_1,'134.7639
879,西大楼小队,'135.4314
880,zk2020,'136.4501
881,wenkei,'136.5607
882,mgg644,'137.4321
883,Recorder1994,'142.7623
884,hw08034176,'144.4056
885,Goto,'148.4795
886,HFL123,'154.5188
887,hjkl,'162.1602
888,sunxiangjun,'167.6327
889,Saturday,'179.9869
890,hw30186372,'188.5732
891,濮竹,'197.8307
892,hw50570008,'205.4545
893,柠可有你,'219.3642
894,三个酱油瓶,'220.9808
895,盛老师很牛,'227.6729
896,jwjwjwzhang,'235.2631
897,打酱油的,'236.3974
898,卡提诺,'250.8512
899,ARDAER,'261.2922
900,hw16786056,'275.695
901,bugmakerrr,'283.5807
902,双叶天下第一,'294.463
903,HumPeriod,'317.909
904,jiang_yue_ye,'363.2166
905,hw00717793,'388.0506
906,代码你要学会自动优化啊,'444.6059
907,Stu_Sun,'447.9265
908,hw20277792,'449.537
909,橙子不怕天虎队,'460.7204
910,GroundBySpring,'476.033
911,Creammmmm,'506.984
912,always@(posedge hearbeats),'565.8851
913,hw42134451,'633.7201
914,无限,'980.1345
915,hw17885387,'1048.0831
